id,title,category,subcategory,short_pitch,merchant,product_url,list_or_typical_price,current_price,discount_basis,is_verified_discount,currency,ceiling_bucket,restrictions_notes,last_checked_date,suggested_affiliate_network,image_notes,image_url,image_alt,image_source,status
hart-7gal-wet-dry-vac-walmart,HART 7-Gallon 5-Peak-HP Wet/Dry Vacuum,home,cleaning-tools,Smaller-footprint wet/dry vac for apartments and light workshop cleanup.,Walmart,https://www.walmart.com/search?q=HART+7-Gallon+Wet+Dry+Vacuum,55.13,48.87,"secondary deal report citing merchant was/now (Bob Vila Walmart HART clearance, published 2026-09-17) — re-verify on Walmart PDP before publish",false,,under_50,"HART inventory clearing at Walmart; many SKUs go OOS. Confirm exact SKU, battery inclusion, and live price. Search URL used when canonical PDP not confirmed.",,impact,Walmart PDP hero for matching HART SKU once locked; do not use Bob Vila photos without license.,,,,
hart-8gal-wet-dry-vac-walmart,HART 8-Gallon 6-Peak-HP Wet/Dry Vacuum,home,cleaning-tools,Mid-size wet/dry vac for home projects; clearance pricing may disappear as HART exits Walmart.,Walmart,https://www.walmart.com/search?q=HART+8-Gallon+Wet+Dry+Vacuum,84.26,54.97,"secondary deal report citing merchant was/now (Bob Vila Walmart HART clearance, published 2026-09-17) — re-verify on Walmart PDP before publish",false,,under_100,"HART inventory clearing at Walmart; many SKUs go OOS. Confirm exact SKU, battery inclusion, and live price. Search URL used when canonical PDP not confirmed.",,impact,Walmart PDP hero for matching HART SKU once locked; do not use Bob Vila photos without license.,,,,
hart-20v-recip-saw-walmart,HART 20V Reciprocating Saw (tool only context varies),home,power-tools,Budget cordless recip for pruning and demo—confirm battery-included vs bare tool before buying.,Walmart,https://www.walmart.com/search?q=HART+20V+Reciprocating+Saw,57.86,28.93,"secondary deal report citing merchant was/now (Bob Vila Walmart HART clearance, published 2026-09-17) — re-verify on Walmart PDP before publish",false,,under_50,"HART inventory clearing at Walmart; many SKUs go OOS. Confirm exact SKU, battery inclusion, and live price. Search URL used when canonical PDP not confirmed.",,impact,Walmart PDP hero for matching HART SKU once locked; do not use Bob Vila photos without license.,,,,
irwin-10in-curved-jaw-locking-pliers-amazon,"IRWIN 10"" Curved Jaw Locking Pliers",home,hand-tools,Classic locking pliers for clamping and twisting when you need a third hand.,Amazon,https://www.amazon.com/s?k=IRWIN+10+Curved+Jaw+Locking+Pliers,27.07,14.61,"secondary deal report citing merchant was/now (Bob Vila Amazon hand-tool deals, published 2026-09-15) — re-verify on Amazon PDP before publish",false,,under_25,Amazon prices change frequently; confirm sold-by and ASIN. Search URL used until exact ASIN locked. Third-party sellers may differ.,,amazon,Amazon PDP main image for confirmed ASIN; avoid marketplace stock photos with watermarks.,,,,
craftsman-25ft-tape-amazon,Craftsman 25-Foot Tape Measure,home,hand-tools,Straightforward 25 ft tape for household measuring without paying FatMax pricing.,Amazon,https://www.amazon.com/s?k=Craftsman+25+Foot+Tape+Measure,19.98,12.98,"secondary deal report citing merchant was/now (Bob Vila Amazon hand-tool deals, published 2026-09-15) — re-verify on Amazon PDP before publish",false,,under_25,Amazon prices change frequently; confirm sold-by and ASIN. Search URL used until exact ASIN locked. Third-party sellers may differ.,,amazon,Amazon PDP main image for confirmed ASIN; avoid marketplace stock photos with watermarks.,,,,
craftsman-26pc-ratcheting-screwdriver-amazon,Craftsman 26-Piece Ratcheting Screwdriver / Multibit Set,home,hand-tools,One handle plus common bits—covers most furniture and outlet-cover screws.,Amazon,https://www.amazon.com/s?k=Craftsman+26-Piece+Ratcheting+Screwdriver,24.05,15.99,"secondary deal report citing merchant was/now (Bob Vila Amazon hand-tool deals, published 2026-09-15) — re-verify on Amazon PDP before publish",false,,under_25,Amazon prices change frequently; confirm sold-by and ASIN. Search URL used until exact ASIN locked. Third-party sellers may differ.,,amazon,Amazon PDP main image for confirmed ASIN; avoid marketplace stock photos with watermarks.,,,,
klein-16ft-compact-tape-amazon,Klein Tools 16-Foot Compact Tape Measure,home,hand-tools,Pocketable 16 ft tape for indoor projects where a 25 ft blade is overkill.,Amazon,https://www.amazon.com/s?k=Klein+Tools+16+Foot+Compact+Tape+Measure,13.98,9.98,"secondary deal report citing merchant was/now (Bob Vila Amazon hand-tool deals, published 2026-09-15) — re-verify on Amazon PDP before publish",false,,under_25,Amazon prices change frequently; confirm sold-by and ASIN. Search URL used until exact ASIN locked. Third-party sellers may differ.,,amazon,Amazon PDP main image for confirmed ASIN; avoid marketplace stock photos with watermarks.,,,,
estwing-16oz-rip-hammer-amazon,"Estwing 16 oz. Rip Hammer, Smooth Face",home,hand-tools,One-piece steel hammer known for durability—buy if you want a tool that lasts years of light framing.,Amazon,https://www.amazon.com/s?k=Estwing+16+oz+Rip+Hammer,36.99,24.98,"secondary deal report citing merchant was/now (Bob Vila Amazon hand-tool deals, published 2026-09-15) — re-verify on Amazon PDP before publish",false,,under_25,Amazon prices change frequently; confirm sold-by and ASIN. Search URL used until exact ASIN locked. Third-party sellers may differ.,,amazon,Amazon PDP main image for confirmed ASIN; avoid marketplace stock photos with watermarks.,,,,
craftsman-20oz-fiberglass-hammer-amazon,Craftsman 20 oz. Fiberglass Hammer,home,hand-tools,Heavier fiberglass-handle hammer for driving nails without spending Estwing money.,Amazon,https://www.amazon.com/s?k=Craftsman+20+oz+Fiberglass+Hammer,18.98,14.99,"secondary deal report citing merchant was/now (Bob Vila Amazon hand-tool deals, published 2026-09-15) — re-verify on Amazon PDP before publish",false,,under_25,Amazon prices change frequently; confirm sold-by and ASIN. Search URL used until exact ASIN locked. Third-party sellers may differ.,,amazon,Amazon PDP main image for confirmed ASIN; avoid marketplace stock photos with watermarks.,,,,
channellock-12in-tongue-groove-amazon,"Channellock 12"" Tongue & Groove Pliers",home,hand-tools,Adjustable groove-joint pliers for plumbing fittings and stubborn fasteners.,Amazon,https://www.amazon.com/s?k=Channellock+12+Tongue+Groove+Pliers,24.0,20.85,"secondary deal report citing merchant was/now (Bob Vila Amazon hand-tool deals, published 2026-09-15) — re-verify on Amazon PDP before publish",false,,under_25,Amazon prices change frequently; confirm sold-by and ASIN. Search URL used until exact ASIN locked. Third-party sellers may differ.,,amazon,Amazon PDP main image for confirmed ASIN; avoid marketplace stock photos with watermarks.,,,,
craftsman-8in-long-nose-pliers-amazon,Craftsman 8-Inch Long Nose Pliers,home,hand-tools,"Needle-nose pliers for electrical boxes, jewelry-scale tasks, and tight spaces.",Amazon,https://www.amazon.com/s?k=Craftsman+8+Inch+Long+Nose+Pliers,15.98,13.89,"secondary deal report citing merchant was/now (Bob Vila Amazon hand-tool deals, published 2026-09-15) — re-verify on Amazon PDP before publish",false,,under_25,Amazon prices change frequently; confirm sold-by and ASIN. Search URL used until exact ASIN locked. Third-party sellers may differ.,,amazon,Amazon PDP main image for confirmed ASIN; avoid marketplace stock photos with watermarks.,,,,
craftsman-2pc-groove-joint-plier-set-amazon,"Craftsman 2-Piece Groove Joint Plier Set (8"" & 10"")",home,hand-tools,Two groove-joint sizes cover most household plumbing and clamping needs.,Amazon,https://www.amazon.com/s?k=Craftsman+2-Piece+Groove+Joint+Plier+Set,23.48,16.98,"secondary deal report citing merchant was/now (Bob Vila Amazon hand-tool deals, published 2026-09-15) — re-verify on Amazon PDP before publish",false,,under_25,Amazon prices change frequently; confirm sold-by and ASIN. Search URL used until exact ASIN locked. Third-party sellers may differ.,,amazon,Amazon PDP main image for confirmed ASIN; avoid marketplace stock photos with watermarks.,,,,
klein-15in1-multibit-ratcheting-screwdriver-amazon,Klein Tools 15-in-1 Multi-Bit Ratcheting Screwdriver,home,hand-tools,Pro-brand multibit driver for electricians and DIYers who want replaceable bits in one handle.,Amazon,https://www.amazon.com/s?k=Klein+Tools+15-in-1+Multi-Bit+Ratcheting+Screwdriver,24.97,19.98,"secondary deal report citing merchant was/now (Bob Vila Amazon hand-tool deals, published 2026-09-15) — re-verify on Amazon PDP before publish",false,,under_25,Amazon prices change frequently; confirm sold-by and ASIN. Search URL used until exact ASIN locked. Third-party sellers may differ.,,amazon,Amazon PDP main image for confirmed ASIN; avoid marketplace stock photos with watermarks.,,,,
klein-11in1-screwdriver-nut-driver-amazon,Klein Tools 11-in-1 Multi-Bit Screwdriver/Nut Driver,home,hand-tools,Combines common screw bits and nut drivers—good for light electrical and appliance work.,Amazon,https://www.amazon.com/s?k=Klein+Tools+11-in-1+Multi-Bit+Screwdriver,22.97,19.98,"secondary deal report citing merchant was/now (Bob Vila Amazon hand-tool deals, published 2026-09-15) — re-verify on Amazon PDP before publish",false,,under_25,Amazon prices change frequently; confirm sold-by and ASIN. Search URL used until exact ASIN locked. Third-party sellers may differ.,,amazon,Amazon PDP main image for confirmed ASIN; avoid marketplace stock photos with watermarks.,,,,
irwin-7in-locking-pliers-cutter-amazon,"IRWIN VISE-GRIP 7"" Curved Jaw Locking Pliers with Cutter",home,hand-tools,Smaller locking pliers with a wire cutter for electrical and DIY clamping.,Amazon,https://www.amazon.com/s?k=IRWIN+VISE-GRIP+7+Curved+Jaw+Locking+Pliers,16.48,14.16,"secondary deal report citing merchant was/now (Bob Vila Amazon hand-tool deals, published 2026-09-15) — re-verify on Amazon PDP before publish",false,,under_25,Amazon prices change frequently; confirm sold-by and ASIN. Search URL used until exact ASIN locked. Third-party sellers may differ.,,amazon,Amazon PDP main image for confirmed ASIN; avoid marketplace stock photos with watermarks.,,,,
oxo-good-grips-kitchen-scissors-amazon,OXO Good Grips Kitchen Scissors,home,kitchen-tools,"Separable kitchen shears for meat, herbs, and packaging—easier to clean than many one-piece scissors.",Amazon,https://www.amazon.com/OXO-Good-Grips-Kitchen-Scissors/dp/B08Q2C6RFP,21.99,14.97,price check — Amazon current vs OXO.com list ($21.99); not a single-page list/sale pair on Amazon,false,,under_25,Hand wash recommended per listing. Compare Target (~$12.99–$15) before buying; confirm ASIN B08Q2C6RFP.,,amazon,Amazon PDP of red-handle OXO kitchen scissors ASIN B08Q2C6RFP.,https://m.media-amazon.com/images/I/51qUkHkLxiL._AC_SL500_.jpg,OXO Good Grips Kitchen Scissors,amazon,
oxo-swivel-peeler-target,OXO Swivel Peeler,home,kitchen-tools,A soft-grip swivel peeler that follows curves—worth owning if you prep produce weekly.,Target,https://www.target.com/p/oxo-swivel-peeler/-/A-13567836,,12.99,price check only — no verified discount,false,,under_25,Target Softworks vs Good Grips naming can differ by SKU; confirm blade/handle details. Amazon Good Grips variant often ~$11.99.,,impact,Target PDP hero of OXO swivel peeler A-13567836.,https://target.scene7.com/is/image/Target/GUEST_f1df8a68-32d4-444e-b524-7fd3e7203aaf?wid=600&hei=600&qlt=85,OXO Swivel Peeler,target,
oxo-good-grips-salad-spinner-amazon,OXO Good Grips Salad Spinner (Large ~6.22 qt),home,kitchen-tools,One-handed pump spinner that doubles as a serving bowl—useful if you wash greens often.,Amazon,https://www.amazon.com/OXO-Good-Grips-Salad-Spinner/dp/B00004OCKR,,32.95,price check only — no verified discount,false,,under_50,Price fluctuates; some listings show ~$29–$33. Confirm capacity (large vs compact) matches need.,,amazon,Amazon PDP salad spinner ASIN B00004OCKR.,https://m.media-amazon.com/images/I/81llIkiRB8L._AC_SL500_.jpg,OXO Good Grips Salad Spinner (Large ~6.22 qt),amazon,
lodge-8in-cast-iron-skillet-amazon,Lodge 8-Inch Pre-Seasoned Cast Iron Skillet,home,cookware,Small Lodge skillet for eggs and sides—durable cookware that improves with use if maintained.,Amazon,https://www.amazon.com/dp/B00NZ7PTDS,17.99,14.9,price check — Amazon vs typical Target/big-box ~$17.99; not a labeled sale on one merchant page,false,,under_25,"Hand wash; re-season as needed. Target lists similar 8"" around $17.99—compare total with shipping/tax.",,amazon,Amazon/Lodge product image of 8-inch black skillet L5SK3.,https://m.media-amazon.com/images/I/71H-w0pZIuL._AC_SL500_.jpg,Lodge 8-Inch Pre-Seasoned Cast Iron Skillet,amazon,
lodge-10-25-cast-iron-skillet-walmart,"Lodge 10.25"" Seasoned Cast Iron Skillet",home,cookware,Everyday cast-iron size for searing and oven finishes without buying a full set.,Walmart,https://www.walmart.com/ip/Lodge-Cast-Iron-10-25-Seasoned-Deer-Skillet-Wildlife-Series/216039747,,29.9,price check only — no verified discount,false,,under_50,Wildlife Series decorative lid/side art may differ from plain Lodge SKUs—confirm you want that design. Price may vary by store.,,impact,Walmart PDP of Lodge 10.25 skillet; prefer plain L8SK3 if swapping SKU.,,,,
pyrex-3pc-measuring-cup-set-amazon,Pyrex 3-Piece Glass Measuring Cup Set (1/2/4 cup),home,kitchen-tools,Tempered glass cups for liquids that go from fridge to microwave—more durable than cheap plastic.,Amazon,https://www.amazon.com/dp/B01I64KYAM,25.99,24.99,price check — Amazon ~$24.99 vs Pyrex.com list $25.99; Costco same-day sometimes lower,false,,under_25,Glass can shatter with thermal shock; follow oven/preheat guidance. Confirm 3-piece set contents.,,amazon,Amazon PDP of clear Pyrex measuring cups set.,https://m.media-amazon.com/images/I/71ygLu2o0OL._AC_SL500_.jpg,Pyrex 3-Piece Glass Measuring Cup Set (1/2/4 cup),amazon,
microplane-premium-classic-zester-target,Microplane Premium Classic Fine Grater / Zester,home,kitchen-tools,"Fine grater for citrus zest, hard cheese, and garlic—replaces dull box-grater sides for those tasks.",Target,https://www.target.com/p/microplane-premium-classic-fine-grater-zester-grey/-/A-1001942616,,18.99,price check only — no verified discount,false,,under_25,Blade is sharp—use a finger guard or careful technique. Colorways may vary.,,impact,Target PDP of grey Microplane Classic zester.,,,,
rubbermaid-brilliance-glass-8cup-target,Rubbermaid Brilliance Glass 8-Cup Food Storage Container with Lid,home,food-storage,Leak-resistant glass container with venting lid for leftovers and meal prep without staining.,Target,https://www.target.com/p/rubbermaid-8-cup-1-9-liter-large-brilliance-glass/-/A-79652750,16.99,15.19,sale vs list on merchant page (Target: $15.19 was $16.99),true,,under_25,Glass base oven-safe up to stated temp; plastic lid is not. Confirm current was/now at checkout.,,impact,Target PDP of Brilliance glass 8-cup container A-79652750.,https://target.scene7.com/is/image/Target/GUEST_58471dd4-e98a-43f9-8e76-6e5ba8974fe6?wid=600&hei=600&qlt=85,Rubbermaid Brilliance Glass 8-Cup Food Storage Container with Lid,target,
oxo-kitchen-herb-scissors-oxo-com,OXO Good Grips Kitchen and Herb Scissors,home,kitchen-tools,Brand-site kitchen/herb scissors with herb stripper—buy here only if you prefer direct warranty paths.,OXO,https://www.oxo.com/kitchen-and-herb-scissors-361.html,,21.99,price check only — no verified discount (brand list price),false,,under_25,"Often cheaper at Target/Amazon; use brand page for specs, shop elsewhere for price.",,pending,OXO.com product photo of Kitchen and Herb Scissors.,,,,
amazon-basics-microfiber-cloths-24pk,"Amazon Basics Microfiber Cleaning Cloths, 24-Pack (16"" x 12"")",everyday,cleaning,Reusable lint-free cloths for dusting and glass—cheaper per cloth than many store 4-packs.,Amazon,https://www.amazon.com/AmazonBasics-CW190423-24-Pack-Microfiber-Cleaning/dp/B009FUF6DM,,9.08,price check only — no verified discount,false,,under_25,Price often ~$9–$11; wash separately first. Confirm pack count (24).,,amazon,Amazon Basics pack photo of blue/white/yellow cloths ASIN B009FUF6DM.,https://m.media-amazon.com/images/I/91WjG1lqmLL._AC_SL500_.jpg,"Amazon Basics Microfiber Cleaning Cloths, 24-Pack (16"" x 12"")",amazon,
scotch-brite-heavy-duty-sponges-3ct-target,"Scotch-Brite Heavy Duty Scrub Sponges, 3-Count",everyday,cleaning,Abrasive scrub sponges for pots and pans—replace when they smell or flatten.,Target,https://www.target.com/p/scotch-brite-heavy-duty-scrub-sponges-3ct/-/A-76165590,,3.39,price check only — no verified discount,false,,under_25,Not for nonstick coatings that scratch easily—use zero-scratch variants on coated pans.,,impact,Target PDP of green/yellow Scotch-Brite 3ct pack.,https://target.scene7.com/is/image/Target/GUEST_4dda7285-1859-4955-bbe3-ab2ea840ff7f?wid=600&hei=600&qlt=85,"Scotch-Brite Heavy Duty Scrub Sponges, 3-Count",target,
scotch-brite-zero-scratch-sponges-3ct-target,"Scotch-Brite Zero-Scratch Scrub Sponges, 3-Count",everyday,cleaning,Softer scrub sponges for surfaces that heavy-duty pads can scratch.,Target,https://www.target.com/p/scotch-brite-zero-scratch-scrub-sponges-3ct/-/A-76165591,,3.39,price check only — no verified discount,false,,under_25,Still not ideal for every finish; test a corner if unsure.,,impact,Target PDP of Scotch-Brite Zero-Scratch 3ct.,https://target.scene7.com/is/image/Target/GUEST_11eb9059-1389-49d2-9940-cb083369f274?wid=600&hei=600&qlt=85,"Scotch-Brite Zero-Scratch Scrub Sponges, 3-Count",target,
clorox-fresh-scent-wipes-75ct-target,"Clorox Fresh Scent Disinfecting Wipes, 75-Count",everyday,cleaning,Bleach-free disinfecting wipes for counters and handles when you need a quick wipe-down.,Target,https://www.target.com/p/clorox-fresh-scent-disinfecting-wipes-75ct/-/A-53133307,,5.49,price check only — no verified discount,false,,under_25,Follow contact-time instructions for disinfection claims. Fragrance may bother sensitive users.,,impact,Target PDP of Clorox Fresh Scent 75ct canister.,https://target.scene7.com/is/image/Target/GUEST_a0d1716e-2a9b-4d6b-a271-fbfa04164495?wid=600&hei=600&qlt=85,"Clorox Fresh Scent Disinfecting Wipes, 75-Count",target,
room-essentials-storage-crate-target,Room Essentials Storage Crate (Milk-Crate Style),everyday,organization,"Stackable plastic crate for pantry overflow, garage bits, or dorm storage.",Target,https://www.target.com/p/storage-crate-black-room-essentials-8482/-/A-75666888,,5.0,price check only — no verified discount,false,,under_25,Confirm color/capacity on PDP; price can vary by colorway. Not sealed food storage.,,impact,Target PDP of Room Essentials storage crate (black or white).,https://target.scene7.com/is/image/Target/GUEST_d05e73f9-0b06-4008-95a6-557e93e12590?wid=600&hei=600&qlt=85,Room Essentials Storage Crate (Milk-Crate Style),target,
amazon-basics-hdmi-cable-6ft,"Amazon Basics HDMI Cable, 6 ft (4K@60Hz / HDMI 2.0)",everyday,cables-chargers,"No-frills 6 ft HDMI for TVs, consoles, and monitors—skip expensive ‘premium’ branding for standard 4K60.",Amazon,https://www.amazon.com/AmazonBasics-High-Speed-HDMI-Cable-1-Pack/dp/B014I8SSD0,,4.8,price check only — no verified discount,false,,under_25,HDMI 2.0 / 4K60—not 8K or 48Gbps. Confirm length and connector needs.,,amazon,Amazon Basics black HDMI cable pack photo.,https://m.media-amazon.com/images/I/81Bxo64d2-L._AC_SL500_.jpg,"Amazon Basics HDMI Cable, 6 ft (4K@60Hz / HDMI 2.0)",amazon,
anker-powercore-10000-amazon,Anker PowerCore 10000 Portable Charger,everyday,cables-chargers,"Compact ~10,000 mAh bank for roughly a couple phone charges—check airline rules for lithium packs.",Amazon,https://www.amazon.com/Anker-PowerCore-Ultra-Compact-High-Speed-Technology/dp/B0194WDVHI,,25.99,price check only — no verified discount,false,,under_50,USB-A output model; newer phones may want USB-C banks. Flight-approved capacity but carry-on only. Sold by AnkerDirect typically.,,amazon,Amazon PDP of Anker PowerCore 10000 black brick ASIN B0194WDVHI.,,,,
anker-20w-usb-c-charger-nano-amazon,Anker 511 Nano / 20W USB-C Charger (cable not included),everyday,cables-chargers,Small 20W USB-C wall charger for phones and small tablets—buy a separate cable if you need one.,Amazon,https://www.amazon.com/Charger-Anker-Durable-PowerPort-Included/dp/B091H5DPF7,,,price check only — no verified discount (live USD price not confirmed in research pass),false,,under_25,Cable not included. Confirm exact Nano vs Nano Pro SKU and regional plug type. Re-check Amazon price before publish.,,amazon,Amazon PDP of compact Anker 20W USB-C brick.,https://m.media-amazon.com/images/I/51UCIcDXQaS._AC_SL500_.jpg,Anker 511 Nano / 20W USB-C Charger (cable not included),amazon,
tide-pods-42ct-amazon,"Tide PODS Laundry Detergent Pacs, 42 Count (Original)",everyday,laundry,Pre-measured pacs for HE washers—compare cost per load against liquid before treating as a ‘deal’.,Amazon,https://www.amazon.com/s?k=Tide+PODS+42+Count,,12.97,price check only — no verified discount,false,,under_25,Keep away from children. Confirm count and scent. Subscribe & Save may change effective price.,,amazon,Amazon/Tide PODS tub photo; lock exact ASIN on publish.,,,,
crest-3d-whitestrips-professional-effects-amazon,Crest 3D Whitestrips Professional Effects (22 Treatments),everyday,personal-care,At-home whitening strips with a clear treatment count—check enamel sensitivity before committing.,Amazon,https://www.amazon.com/s?k=Crest+3D+Whitestrips+Professional+Effects+22+Treatments,,45.99,price check only — no verified discount,false,,under_50,"Not for everyone (braces, sensitivity). Target/Walmart kit sizes differ—match strip count. S&S may lower Amazon price.",,amazon,Crest Professional Effects box; confirm treatment count on pack.,,,,
amazon-basics-aa-batteries-48pk,"Amazon Basics AA Alkaline Batteries, 48-Pack",everyday,batteries,Bulk AA pack for remotes and sensors—track cost per cell vs store multipacks.,Amazon,https://www.amazon.com/Amazon-Basics-Count-High-Performance-Batteries/dp/B094D3JGLT,,9.94,price check only — promotional/SNS prices seen ~$9.94–$12; no stable list/sale verified,false,,under_25,Alkaline (not rechargeable). Prices swing with Subscribe & Save. Confirm 48-count ASIN.,,amazon,Amazon Basics AA 48-pack packaging image.,https://m.media-amazon.com/images/I/715RL6A12gL._AC_SL500_.jpg,"Amazon Basics AA Alkaline Batteries, 48-Pack",amazon,
